0.994 0
0.99333 -0.0041243
0.991716 -0.0076251
0.989711 -0.0104616
0.987589 -0.0128013
0.985457 -0.0147869
0.983353 -0.016514
0.98129 -0.0180455
0.979272 -0.0194238
0.977298 -0.0206788
0.975365 -0.021832
0.973471 -0.0228995
0.971613 -0.0238936
0.969789 -0.0248238
0.967995 -0.0256979
0.96623 -0.0265222
0.964491 -0.0273016
0.962777 -0.0280405
0.961086 -0.0287424
0.959416 -0.0294105
0.957766 -0.0300472
0.956136 -0.030655
0.954523 -0.0312357
0.952926 -0.0317911
0.951346 -0.0323228
0.94978 -0.032832
0.948229 -0.0333201
0.946691 -0.033788
0.945165 -0.0342369
0.943652 -0.0346674
0.94215 -0.0350806
0.94066 -0.035477
0.93918 -0.0358574
0.93771 -0.0362223
0.936249 -0.0365724
0.934798 -0.0369081
0.933356 -0.0372299
0.931922 -0.0375383
0.930496 -0.0378337
0.929079 -0.0381164
0.927669 -0.0383868
0.926266 -0.0386453
0.92487 -0.0388921
0.923481 -0.0391276
0.922098 -0.039352
0.920722 -0.0395655
0.919352 -0.0397685
0.917987 -0.0399611
0.916629 -0.0401436
0.915276 -0.0403161
0.913928 -0.0404788
0.912586 -0.040632
0.911248 -0.0407758
0.909915 -0.0409103
0.908588 -0.0410357
0.907264 -0.0411522
0.905945 -0.0412599
0.904631 -0.041359
0.90332 -0.0414494
0.902014 -0.0415315
0.900712 -0.0416053
0.899413 -0.0416708
0.898118 -0.0417283
0.896827 -0.0417778
0.895539 -0.0418194
0.894255 -0.0418532
0.892974 -0.0418793
0.891697 -0.0418977
0.890423 -0.0419087
0.889151 -0.0419121
0.887883 -0.0419082
0.886618 -0.0418969
0.885355 -0.0418784
0.884095 -0.0418528
0.882839 -0.04182
0.881584 -0.0417801
0.880332 -0.0417333
0.879083 -0.0416795
0.877837 -0.0416189
0.876592 -0.0415514
0.87535 -0.0414772
0.87411 -0.0413963
0.872873 -0.0413086
0.871638 -0.0412144
0.870404 -0.0411136
0.869173 -0.0410062
0.867944 -0.0408924
0.866717 -0.0407721
0.865492 -0.0406454
0.864268 -0.0405123
0.863047 -0.0403729
0.861827 -0.0402272
0.860609 -0.0400753
0.859393 -0.0399171
0.858178 -0.0397527
0.856965 -0.0395821
0.855753 -0.0394055
0.854544 -0.0392227
0.853335 -0.0390339
0.852128 -0.038839
0.850923 -0.0386381
0.849718 -0.0384312
0.848516 -0.0382184
0.847314 -0.0379996
0.846114 -0.037775
0.844915 -0.0375444
0.843717 -0.037308
0.842521 -0.0370657
0.841325 -0.0368177
0.840131 -0.0365638
0.838938 -0.0363042
0.837746 -0.0360388
0.836555 -0.0357676
0.835364 -0.0354908
0.834175 -0.0352083
0.832987 -0.0349201
0.8318 -0.0346262
0.830614 -0.0343267
0.829428 -0.0340216
0.828244 -0.0337109
0.82706 -0.0333946
0.825877 -0.0330727
0.824695 -0.0327453
0.823513 -0.0324123
0.822332 -0.0320738
0.821152 -0.0317298
0.819973 -0.0313803
0.818794 -0.0310253
0.817616 -0.0306648
0.816438 -0.0302989
0.815261 -0.0299275
0.814085 -0.0295507
0.812909 -0.0291685
0.811734 -0.0287808
0.810559 -0.0283878
0.809384 -0.0279894
0.80821 -0.0275856
0.807037 -0.0271764
0.805864 -0.0267619
0.804691 -0.0263421
0.803518 -0.0259169
0.802346 -0.0254864
0.801174 -0.0250506
0.800003 -0.0246095
0.798832 -0.024163
0.797661 -0.0237113
0.79649 -0.0232544
0.79532 -0.0227921
0.794149 -0.0223246
0.792979 -0.0218519
0.791809 -0.0213739
0.790639 -0.0208906
0.78947 -0.0204022
0.7883 -0.0199085
0.787131 -0.0194096
0.785961 -0.0189055
0.784792 -0.0183962
0.783622 -0.0178818
0.782453 -0.0173621
0.781283 -0.0168373
0.780114 -0.0163073
0.778945 -0.0157721
0.777775 -0.0152318
0.776605 -0.0146863
0.775436 -0.0141357
0.774266 -0.0135799
0.773096 -0.013019
0.771926 -0.012453
0.770755 -0.0118818
0.769585 -0.0113056
0.768414 -0.0107242
0.767243 -0.0101378
0.766072 -0.00954619
0.764901 -0.00894953
0.763729 -0.00834778
0.762557 -0.00774095
0.761385 -0.00712904
0.760212 -0.00651205
0.759039 -0.00589
0.757866 -0.00526288
0.756692 -0.00463071
0.755518 -0.00399348
0.754343 -0.0033512
0.753168 -0.00270388
0.751992 -0.00205151
0.750816 -0.00139411
0.74964 -0.00073168
0.748463 -6.42204e-05
0.747286 0.000608262
0.746108 0.00128576
0.744929 0.00196828
0.74375 0.00265581
0.74257 0.00334834
0.74139 0.00404587
0.740209 0.00474841
0.739027 0.00545593
0.737845 0.00616845
0.736662 0.00688595
0.735478 0.00760844
0.734293 0.0083359
0.733108 0.00906833
0.731922 0.00980574
0.730736 0.0105481
0.729548 0.0112955
0.72836 0.0120477
0.727171 0.012805
0.725981 0.0135672
0.72479 0.0143343
0.723598 0.0151064
0.722405 0.0158835
0.721212 0.0166654
0.720017 0.0174523
0.718822 0.0182441
0.717625 0.0190409
0.716428 0.0198425
0.71523 0.0206491
0.71403 0.0214606
0.71283 0.022277
0.711628 0.0230983
0.710425 0.0239245
0.709222 0.0247556
0.708017 0.0255916
0.706811 0.0264325
0.705604 0.0272783
0.704395 0.0281289
0.703186 0.0289844
0.701975 0.0298448
0.700763 0.0307101
0.69955 0.0315802
0.698335 0.0324552
0.697119 0.033335
0.695902 0.0342197
0.694683 0.0351092
0.693464 0.0360035
0.692242 0.0369027
0.69102 0.0378068
0.689796 0.0387156
0.68857 0.0396293
0.687343 0.0405478
